"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14288,"\347\224\211","\343\204\222\343\204\247\343\204\242\313\212","sian","xian","shian","hsien",0,0
14289,"\351\226\227","\343\204\211\343\204\241\313\213","dou","dou","dou","tou",0,0
14290,"\345\233\243","\343\204\212\343\204\250\343\204\242\313\212","tuan","tuan","tuan","tuan",0,0
14291,"\346\211\270","\343\204\222\343\204\247","si","xi","shi","hsi",0,0
14292,"\346\211\270","\343\204\223\343\204\234\313\212","jhe","zhe","je","che",0,0
14293,"\346\207\216","\343\204\231\343\204\234\313\213","se","se","se","se",0,0
14294,"\350\251\270","\343\204\207\343\204\247\313\212","mi","mi","mi","mi",0,0
14295,"\345\201\246","\343\204\222\343\204\251","syu","xu","shiu","hsu",0,0
14296,"\347\211\221","\343\204\205\343\204\247\343\204\242","bian","bian","bian","pien",0,0
14297,"\347\211\221","\343\204\207\343\204\247\343\204\242\313\213","mian","mian","mian","mien",0,0
14298,"\351\255\271","\343\204\207\343\204\233\313\212","mo","mo","mo","mo",0,0
14299,"\346\256\241","\343\204\205\343\204\247\343\204\243\313\213","bin","bin","bin","pin",0,0
14300,"\347\214\232","\343\204\247\343\204\232\313\212","ya","ya","ya","ya",0,0
14301,"\347\214\232","\343\204\250\343\204\237\313\213","wei","wei","wei","wei",0,0
14302,"\345\235\206","\343\204\207\343\204\237\313\212","mei","mei","mei","mei",0,0
14303,"\345\235\206","\343\204\210\343\204\243\313\212","fen","fen","fen","fen",0,0
14304,"\347\210\264","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
14305,"\344\272\260","\343\204\220\343\204\247\343\204\245","jing","jing","jing","ching",0,0
14306,"\350\275\274","\343\204\225\313\213","shih","shi","shr","shih",0,0
14307,"\351\243\210","\343\204\205\343\204\247\343\204\240","biao","biao","biau","piao",0,0
14308,"\350\233\275","\343\204\205\343\204\237\313\213","bei","bei","bei","pei",0,0
14309,"\347\235\210","\343\204\224\343\204\245\313\207","cheng","cheng","cheng","cheng",0,0
14310,"\346\277\221","\343\204\214\343\204\236\313\213","lai","lai","lai","lai",0,0
14311,"\347\222\264","\343\204\224\343\204\250\313\207","chu","chu","chu","chu",0,0
14312,"\347\204\270","\343\204\247\343\204\245","ying","ying","ying","ying",0,0
14313,"\350\260\262","\343\204\220\343\204\251\343\204\235\313\212","jyue","jue","jiue","chueh",0,0
14314,"\345\227\255","\343\204\227","zih","zi","tz","tzu",0,0
14315,"\346\221\207","\343\204\247\343\204\240\313\212","yao","yao","yau","yao",0,0
14316,"\345\231\275","\343\204\206\343\204\247\313\207","pi","pi","pi","pi",0,0
14317,"\346\206\234","\343\204\211\343\204\250\343\204\233\313\213","duo","duo","duo","to",0,0
14318,"\351\263\233","\343\204\222\343\204\247\313\212","si","xi","shi","hsi",0,0
14319,"\351\242\247","\343\204\221\343\204\251\343\204\242\313\212","cyuan","quan","chiuan","chuan",0,0
14320,"\346\275\211","\343\204\216\343\204\250\343\204\243","kun","kun","kuen","kun",0,0
14321,"\347\224\247","\343\204\225\343\204\243","shen","shen","shen","shen",0,0
14322,"\347\225\264","\343\204\224\343\204\241\313\212","chou","chou","chou","chou",0,0
14323,"\351\230\226","\343\204\217\343\204\234\313\212","he","he","he","he",0,0
14324,"\347\237\277","\343\204\216\343\204\250\343\204\244\313\213","kuang","kuang","kuang","kuang",0,0
14325,"\346\210\271","\343\204\234\313\213","e","e","e","e",0,0
14326,"\351\270\276","\343\204\214\343\204\250\343\204\242\313\212","luan","luan","luan","luan",0,0
14327,"\350\246\261","\343\204\223\343\204\242","jhan","zhan","jan","chan",0,0
14328,"\350\246\261","\343\204\223\343\204\242\313\213","jhan","zhan","jan","chan",0,0
14329,"\344\274\236","\343\204\231\343\204\242\313\207","san","san","san","san",0,0
14330,"\351\254\271","\343\204\215\343\204\250\343\204\237","guei","gui","guei","kuei",0,0
14331,"\347\202\250","\343\204\222\343\204\247\343\204\235\313\213","sie","xie","shie","hsieh",0,0
14332,"\351\231\207","\343\204\214\343\204\250\343\204\245\313\207","long","long","lung","lung",0,0
14333,"\351\226\262","\343\204\251\343\204\235\313\213","yue","yue","yue","yueh",0,0
14334,"\346\265\261","\343\204\224\343\204\250\343\204\243\313\212","chun","chun","chuen","chun",0,0
14335,"\345\273\252","\343\204\214\343\204\247\343\204\243\313\207","lin","lin","lin","lin",0,0
14336,"\346\232\245","\343\204\247\343\204\242\313\213","yan","yan","yan","yen",0,0
14337,"\351\230\207","\343\204\211\343\204\250","du","du","du","tu",0,0
14338,"\351\230\207","\343\204\225\343\204\234\313\212","she","she","she","she",0,0
14339,"\347\251\217","\343\204\250\343\204\243\313\207","wun","wen","wen","wen",0,0
14340,"\347\274\264","\343\204\220\343\204\247\343\204\240\313\207","jiao","jiao","jiau","chiao",0,0
14341,"\347\274\264","\343\204\223\343\204\250\343\204\233\313\212","jhuo","zhuo","juo","cho",0,0
14342,"\345\271\236","\343\204\210\343\204\250\313\212","fu","fu","fu","fu",0,0
14343,"\351\234\214","\343\204\223\343\204\241","jhou","zhou","jou","chou",0,0
14344,"\346\250\267","\343\204\230\343\204\250\343\204\245\313\212","cong","cong","tsung","tsung",0,0
14345,"\347\253\217","\343\204\221\343\204\247\343\204\242","cian","qian","chian","chien",0,0
14346,"\351\245\266","\343\204\226\343\204\240\313\212","rao","rao","rau","jao",0,0
14347,"\350\226\256","\343\204\231\343\204\241\313\207","sou","sou","sou","sou",0,0
14348,"\347\256\253","\343\204\222\343\204\247\343\204\240","siao","xiao","shiau","hsiao",0,0
14349,"\347\207\267","\343\204\214\343\204\242\313\212","lan","lan","lan","lan",0,0
14350,"\346\224\222","\343\204\227\343\204\242\313\207","zan","zan","tzan","tsan",0,0
14351,"\346\224\222","\343\204\230\343\204\250\343\204\242\313\212","cuan","cuan","tsuan","tsuan",0,0
